#Number of Records in Grid: 327
#Number of Samples in Grid: 327
#Grid Interval in Scan Direction: 32
#Grid Interval in Pix Direction: 32
#  Latitude  Longitude Slant Range Incidence_Angle
 22.001784  70.306036 -9999.000000 -9999.000000
 22.001739  70.311615 -9999.000000 -9999.000000
 22.001694  70.317193 -9999.000000 -9999.000000
 22.001650  70.322771 -9999.000000 -9999.000000
 22.001605  70.328350 -9999.000000 -9999.000000
 22.001559  70.333928 -9999.000000 -9999.000000
 22.001514  70.339506 -9999.000000 -9999.000000
 22.001468  70.345084 -9999.000000 -9999.000000
 22.001422  70.350663 -9999.000000 -9999.000000
 22.001376  70.356241 -9999.000000 -9999.000000
 22.001330  70.361819 -9999.000000 -9999.000000
 22.001284  70.367397 -9999.000000 -9999.000000
 22.001237  70.372975 -9999.000000 -9999.000000
 22.001190  70.378554 -9999.000000 -9999.000000
 22.001143  70.384132 -9999.000000 -9999.000000
 22.001096  70.389710 -9999.000000 -9999.000000
 22.001049  70.395288 -9999.000000 -9999.000000
 22.001001  70.400866 -9999.000000 -9999.000000
 22.000954  70.406444 -9999.000000 -9999.000000
 22.000906  70.412022 -9999.000000 -9999.000000
 22.000858  70.417600 -9999.000000 -9999.000000
 22.000809  70.423178 -9999.000000 -9999.000000
 22.000761  70.428756 -9999.000000 -9999.000000
 22.000712  70.434334 -9999.000000 -9999.000000
 22.000663  70.439912 -9999.000000 -9999.000000
 22.000614  70.445490 -9999.000000 -9999.000000
 22.000565  70.451068 -9999.000000 -9999.000000
 22.000515  70.456646 -9999.000000 -9999.000000
 22.000466  70.462224 -9999.000000 -9999.000000
 22.000416  70.467802 -9999.000000 -9999.000000
 22.000366  70.473380 -9999.000000 -9999.000000
 22.000316  70.478958 -9999.000000 -9999.000000
 22.000265  70.484536 -9999.000000 -9999.000000
 22.000215  70.490114 -9999.000000 -9999.000000
 22.000164  70.495692 -9999.000000 -9999.000000
 22.000113  70.501269 -9999.000000 -9999.000000
 22.000062  70.506847 -9999.000000 -9999.000000
 22.000011  70.512425 -9999.000000 -9999.000000
 21.999959  70.518003 -9999.000000 -9999.000000
 21.999907  70.523580 -9999.000000 -9999.000000
 21.999856  70.529158 -9999.000000 -9999.000000
 21.999803  70.534736 -9999.000000 -9999.000000
 21.999751  70.540314 -9999.000000 -9999.000000
 21.999699  70.545891 -9999.000000 -9999.000000
 21.999646  70.551469 -9999.000000 -9999.000000
 21.999593  70.557047 -9999.000000 -9999.000000
 21.999540  70.562624 -9999.000000 -9999.000000
 21.999487  70.568202 -9999.000000 -9999.000000
 21.999434  70.573779 -9999.000000 -9999.000000
 21.999380  70.579357 -9999.000000 -9999.000000
 21.999326  70.584935 -9999.000000 -9999.000000
 21.999272  70.590512 -9999.000000 -9999.000000
 21.999218  70.596090 -9999.000000 -9999.000000
 21.999164  70.601667 -9999.000000 -9999.000000
 21.999109  70.607245 -9999.000000 -9999.000000
 21.999054  70.612822 -9999.000000 -9999.000000
 21.998999  70.618400 -9999.000000 -9999.000000
 21.998944  70.623977 -9999.000000 -9999.000000
 21.998889  70.629555 -9999.000000 -9999.000000
 21.998834  70.635132 -9999.000000 -9999.000000
 21.998778  70.640709 -9999.000000 -9999.000000
 21.998722  70.646287 -9999.000000 -9999.000000
