#Number of Records in Grid: 327
#Number of Samples in Grid: 327
#Grid Interval in Scan Direction: 32
#Grid Interval in Pix Direction: 32
#  Latitude  Longitude Slant Range Incidence_Angle
 21.978602  71.047583 -9999.000000 -9999.000000
 21.978533  71.053159 -9999.000000 -9999.000000
 21.978463  71.058734 -9999.000000 -9999.000000
 21.978393  71.064309 -9999.000000 -9999.000000
 21.978323  71.069884 -9999.000000 -9999.000000
 21.978252  71.075460 -9999.000000 -9999.000000
 21.978182  71.081035 -9999.000000 -9999.000000
 21.978111  71.086610 -9999.000000 -9999.000000
 21.978040  71.092185 -9999.000000 -9999.000000
 21.977969  71.097760 -9999.000000 -9999.000000
 21.977898  71.103335 -9999.000000 -9999.000000
 21.977826  71.108910 -9999.000000 -9999.000000
 21.977754  71.114485 -9999.000000 -9999.000000
 21.977683  71.120060 -9999.000000 -9999.000000
 21.977611  71.125635 -9999.000000 -9999.000000
 21.977538  71.131210 -9999.000000 -9999.000000
 21.977466  71.136785 -9999.000000 -9999.000000
 21.977393  71.142360 -9999.000000 -9999.000000
 21.977320  71.147935 -9999.000000 -9999.000000
 21.977247  71.153510 -9999.000000 -9999.000000
 21.977174  71.159085 -9999.000000 -9999.000000
 21.977101  71.164660 -9999.000000 -9999.000000
 21.977027  71.170235 -9999.000000 -9999.000000
 21.976953  71.175810 -9999.000000 -9999.000000
 21.976880  71.181384 -9999.000000 -9999.000000
 21.976805  71.186959 -9999.000000 -9999.000000
 21.976731  71.192534 -9999.000000 -9999.000000
 21.976657  71.198108 -9999.000000 -9999.000000
 21.976582  71.203683 -9999.000000 -9999.000000
 21.976507  71.209258 -9999.000000 -9999.000000
 21.976432  71.214832 -9999.000000 -9999.000000
 21.976357  71.220407 -9999.000000 -9999.000000
 21.976281  71.225982 -9999.000000 -9999.000000
 21.976205  71.231556 -9999.000000 -9999.000000
 21.976130  71.237131 -9999.000000 -9999.000000
 21.976054  71.242705 -9999.000000 -9999.000000
 21.975977  71.248280 -9999.000000 -9999.000000
 21.975901  71.253854 -9999.000000 -9999.000000
 21.975824  71.259429 -9999.000000 -9999.000000
 21.975748  71.265003 -9999.000000 -9999.000000
 21.975671  71.270577 -9999.000000 -9999.000000
 21.975594  71.276152 -9999.000000 -9999.000000
 21.975516  71.281726 -9999.000000 -9999.000000
 21.975439  71.287301 -9999.000000 -9999.000000
 21.975361  71.292875 -9999.000000 -9999.000000
 21.975283  71.298449 -9999.000000 -9999.000000
 21.975205  71.304023 -9999.000000 -9999.000000
 21.975127  71.309598 -9999.000000 -9999.000000
 21.975048  71.315172 -9999.000000 -9999.000000
 21.974969  71.320746 -9999.000000 -9999.000000
 21.974891  71.326320 -9999.000000 -9999.000000
 21.974812  71.331894 -9999.000000 -9999.000000
 21.974732  71.337468 -9999.000000 -9999.000000
 21.974653  71.343042 -9999.000000 -9999.000000
 21.974573  71.348616 -9999.000000 -9999.000000
 21.974494  71.354190 -9999.000000 -9999.000000
 21.974414  71.359764 -9999.000000 -9999.000000
 21.974333  71.365338 -9999.000000 -9999.000000
 21.974253  71.370912 -9999.000000 -9999.000000
 21.974173  71.376486 -9999.000000 -9999.000000
 21.974092  71.382060 -9999.000000 -9999.000000
 21.974011  71.387634 -9999.000000 -9999.000000
 21.973930  71.393208 -9999.000000 -9999.000000
 21.973848  71.398782 -9999.000000 -9999.000000
 21.973767  71.404355 -9999.000000 -9999.000000
 21.973685  71.409929 -9999.000000 -9999.000000
 21.973603  71.415503 -9999.000000 -9999.000000
 21.973521  71.421077 -9999.000000 -9999.000000
 21.973439  71.426650 -9999.000000 -9999.000000
 21.973357  71.432224 -9999.000000 -9999.000000
 21.985023  69.614144 -9999.000000 -9999.000000
 21.985000  69.619721 -9999.000000 -9999.000000
 21.984979  69.625300 -9999.000000 -9999.000000
 21.984958  69.630879 -9999.000000 -9999.000000
 21.984936  69.636457 -9999.000000 -9999.000000
 21.984914  69.642036 -9999.000000 -9999.000000
 21.984893  69.647615 -9999.000000 -9999.000000
 21.984870  69.653194 -9999.000000 -9999.000000
 21.984848  69.658773 -9999.000000 -9999.000000
 21.984826  69.664351 -9999.000000 -9999.000000
 21.984803  69.669930 -9999.000000 -9999.000000
 21.984780  69.675509 -9999.000000 -9999.000000
 21.984757  69.681088 -9999.000000 -9999.000000
 21.984734  69.686666 -9999.000000 -9999.000000
 21.984710  69.692245 -9999.000000 -9999.000000
 21.984687  69.697824 -9999.000000 -9999.000000
 21.984663  69.703403 -9999.000000 -9999.000000
 21.984639  69.708981 -9999.000000 -9999.000000
 21.984615  69.714560 -9999.000000 -9999.000000
 21.984590  69.720139 -9999.000000 -9999.000000
 21.984566  69.725717 -9999.000000 -9999.000000
 21.984541  69.731296 -9999.000000 -9999.000000
 21.984516  69.736875 -9999.000000 -9999.000000
 21.984491  69.742453 -9999.000000 -9999.000000
 21.984466  69.748032 -9999.000000 -9999.000000
 21.984440  69.753611 -9999.000000 -9999.000000
 21.984414  69.759189 -9999.000000 -9999.000000
 21.984388  69.764768 -9999.000000 -9999.000000
 21.984362  69.770346 -9999.000000 -9999.000000
 21.984336  69.775925 -9999.000000 -9999.000000
 21.984310  69.781504 -9999.000000 -9999.000000
 21.984283  69.787082 -9999.000000 -9999.000000
 21.984256  69.792661 -9999.000000 -9999.000000
 21.984229  69.798239 -9999.000000 -9999.000000
 21.984202  69.803818 -9999.000000 -9999.000000
 21.984174  69.809397 -9999.000000 -9999.000000
 21.984147  69.814975 -9999.000000 -9999.000000
 21.984119  69.820554 -9999.000000 -9999.000000
 21.984091  69.826132 -9999.000000 -9999.000000
 21.984063  69.831711 -9999.000000 -9999.000000
 21.984034  69.837289 -9999.000000 -9999.000000
 21.984006  69.842868 -9999.000000 -9999.000000
 21.983977  69.848446 -9999.000000 -9999.000000
 21.983948  69.854025 -9999.000000 -9999.000000
 21.983919  69.859603 -9999.000000 -9999.000000
 21.983890  69.865182 -9999.000000 -9999.000000
 21.983860  69.870760 -9999.000000 -9999.000000
 21.983831  69.876339 -9999.000000 -9999.000000
 21.983801  69.881917 709362.137997  43.750489
 21.983771  69.887495 708964.896094  43.712581
 21.983740  69.893074 708572.141329  43.674307
 21.983710  69.898652 708182.486428  43.635777
 21.983679  69.904231 707791.605294  43.597323
 21.983648  69.909809 707397.885291  43.559069
 21.983617  69.915387 707004.729809  43.520753
 21.983586  69.920966 706609.313557  43.482592
 21.983555  69.926544 706217.964726  43.444098
 21.983523  69.932123 705825.411720  43.405680
 21.983491  69.937701 705430.221927  43.367445
 21.983460  69.943279 705038.011500  43.328963
 21.983427  69.948857 704646.204423  43.290431
 21.983395  69.954436 -9999.000000 -9999.000000
 21.983362  69.960014 -9999.000000 -9999.000000
 21.983330  69.965592 -9999.000000 -9999.000000
 21.983297  69.971171 -9999.000000 -9999.000000
 21.983264  69.976749 -9999.000000 -9999.000000
 21.983230  69.982327 -9999.000000 -9999.000000
 21.983197  69.987905 -9999.000000 -9999.000000
 21.983163  69.993484 -9999.000000 -9999.000000
 21.983129  69.999062 -9999.000000 -9999.000000
 21.983095  70.004640 -9999.000000 -9999.000000
 21.983061  70.010218 -9999.000000 -9999.000000
 21.983027  70.015797 -9999.000000 -9999.000000
 21.982992  70.021375 -9999.000000 -9999.000000
 21.982957  70.026953 -9999.000000 -9999.000000
 21.982922  70.032531 -9999.000000 -9999.000000
 21.982887  70.038109 -9999.000000 -9999.000000
 21.982852  70.043687 -9999.000000 -9999.000000
 21.982816  70.049265 -9999.000000 -9999.000000
 21.982780  70.054844 -9999.000000 -9999.000000
 21.982744  70.060422 -9999.000000 -9999.000000
 21.982708  70.066000 -9999.000000 -9999.000000
 21.982672  70.071578 -9999.000000 -9999.000000
 21.982636  70.077156 -9999.000000 -9999.000000
 21.982599  70.082734 -9999.000000 -9999.000000
 21.982562  70.088312 -9999.000000 -9999.000000
 21.982525  70.093890 -9999.000000 -9999.000000
 21.982488  70.099468 -9999.000000 -9999.000000
 21.982450  70.105046 -9999.000000 -9999.000000
 21.982412  70.110624 -9999.000000 -9999.000000
 21.982375  70.116202 -9999.000000 -9999.000000
 21.982337  70.121780 -9999.000000 -9999.000000
 21.982298  70.127358 -9999.000000 -9999.000000
 21.982260  70.132936 -9999.000000 -9999.000000
 21.982221  70.138514 -9999.000000 -9999.000000
 21.982183  70.144092 -9999.000000 -9999.000000
 21.982144  70.149670 -9999.000000 -9999.000000
 21.982104  70.155248 -9999.000000 -9999.000000
 21.982065  70.160825 -9999.000000 -9999.000000
 21.982026  70.166403 -9999.000000 -9999.000000
 21.981986  70.171981 -9999.000000 -9999.000000
 21.981946  70.177559 -9999.000000 -9999.000000
 21.981906  70.183137 -9999.000000 -9999.000000
 21.981865  70.188715 -9999.000000 -9999.000000
 21.981825  70.194293 -9999.000000 -9999.000000
 21.981784  70.199870 -9999.000000 -9999.000000
 21.981743  70.205448 -9999.000000 -9999.000000
 21.981702  70.211026 -9999.000000 -9999.000000
 21.981661  70.216604 -9999.000000 -9999.000000
 21.981620  70.222181 -9999.000000 -9999.000000
 21.981578  70.227759 -9999.000000 -9999.000000
 21.981536  70.233337 -9999.000000 -9999.000000
 21.981494  70.238915 -9999.000000 -9999.000000
 21.981452  70.244492 -9999.000000 -9999.000000
 21.981410  70.250070 -9999.000000 -9999.000000
 21.981367  70.255648 -9999.000000 -9999.000000
 21.981324  70.261225 -9999.000000 -9999.000000
 21.981281  70.266803 -9999.000000 -9999.000000
 21.981238  70.272380 -9999.000000 -9999.000000
 21.981195  70.277958 -9999.000000 -9999.000000
 21.981151  70.283536 -9999.000000 -9999.000000
 21.981108  70.289113 -9999.000000 -9999.000000
 21.981064  70.294691 -9999.000000 -9999.000000
 21.981020  70.300268 -9999.000000 -9999.000000
 21.980975  70.305846 -9999.000000 -9999.000000
 21.980931  70.311423 -9999.000000 -9999.000000
 21.980886  70.317001 -9999.000000 -9999.000000
 21.980842  70.322578 -9999.000000 -9999.000000
 21.980796  70.328156 -9999.000000 -9999.000000
 21.980751  70.333733 -9999.000000 -9999.000000
 21.980706  70.339311 -9999.000000 -9999.000000
 21.980660  70.344888 -9999.000000 -9999.000000
 21.980614  70.350466 -9999.000000 -9999.000000
 21.980568  70.356043 -9999.000000 -9999.000000
 21.980522  70.361621 -9999.000000 -9999.000000
 21.980476  70.367198 -9999.000000 -9999.000000
 21.980429  70.372775 -9999.000000 -9999.000000
 21.980383  70.378353 -9999.000000 -9999.000000
 21.980336  70.383930 -9999.000000 -9999.000000
 21.980289  70.389507 -9999.000000 -9999.000000
 21.980241  70.395085 -9999.000000 -9999.000000
 21.980194  70.400662 -9999.000000 -9999.000000
 21.980146  70.406239 -9999.000000 -9999.000000
 21.980098  70.411816 -9999.000000 -9999.000000
 21.980050  70.417394 -9999.000000 -9999.000000
 21.980002  70.422971 -9999.000000 -9999.000000
 21.979954  70.428548 -9999.000000 -9999.000000
 21.979905  70.434125 -9999.000000 -9999.000000
 21.979856  70.439702 -9999.000000 -9999.000000
 21.979807  70.445280 -9999.000000 -9999.000000
 21.979758  70.450857 -9999.000000 -9999.000000
 21.979709  70.456434 -9999.000000 -9999.000000
 21.979659  70.462011 -9999.000000 -9999.000000
 21.979609  70.467588 -9999.000000 -9999.000000
 21.979559  70.473165 -9999.000000 -9999.000000
 21.979509  70.478742 -9999.000000 -9999.000000
 21.979459  70.484319 -9999.000000 -9999.000000
 21.979408  70.489896 -9999.000000 -9999.000000
 21.979358  70.495473 -9999.000000 -9999.000000
 21.979307  70.501050 -9999.000000 -9999.000000
 21.979256  70.506627 -9999.000000 -9999.000000
 21.979204  70.512204 -9999.000000 -9999.000000
 21.979153  70.517781 -9999.000000 -9999.000000
 21.979101  70.523358 -9999.000000 -9999.000000
 21.979049  70.528935 -9999.000000 -9999.000000
 21.978997  70.534512 -9999.000000 -9999.000000
 21.978945  70.540089 -9999.000000 -9999.000000
 21.978893  70.545666 -9999.000000 -9999.000000
 21.978840  70.551243 -9999.000000 -9999.000000
 21.978787  70.556820 -9999.000000 -9999.000000
 21.978734  70.562396 -9999.000000 -9999.000000
 21.978681  70.567973 -9999.000000 -9999.000000
 21.978628  70.573550 -9999.000000 -9999.000000
 21.978574  70.579127 -9999.000000 -9999.000000
 21.978521  70.584704 -9999.000000 -9999.000000
 21.978467  70.590280 -9999.000000 -9999.000000
 21.978412  70.595857 -9999.000000 -9999.000000
 21.978358  70.601434 -9999.000000 -9999.000000
 21.978304  70.607010 -9999.000000 -9999.000000
 21.978249  70.612587 -9999.000000 -9999.000000
 21.978194  70.618164 -9999.000000 -9999.000000
 21.978139  70.623740 -9999.000000 -9999.000000
 21.978084  70.629317 -9999.000000 -9999.000000
 21.978028  70.634894 -9999.000000 -9999.000000
 21.977973  70.640470 -9999.000000 -9999.000000
 21.977917  70.646047 -9999.000000 -9999.000000
 21.977861  70.651623 -9999.000000 -9999.000000
 21.977805  70.657200 -9999.000000 -9999.000000
 21.977748  70.662776 -9999.000000 -9999.000000
 21.977692  70.668353 -9999.000000 -9999.000000
 21.977635  70.673929 -9999.000000 -9999.000000
 21.977578  70.679506 -9999.000000 -9999.000000
 21.977521  70.685082 -9999.000000 -9999.000000
 21.977464  70.690659 -9999.000000 -9999.000000
 21.977406  70.696235 -9999.000000 -9999.000000
 21.977348  70.701811 -9999.000000 -9999.000000
 21.977291  70.707388 -9999.000000 -9999.000000
 21.977233  70.712964 -9999.000000 -9999.000000
 21.977174  70.718540 -9999.000000 -9999.000000
 21.977116  70.724117 -9999.000000 -9999.000000
 21.977057  70.729693 -9999.000000 -9999.000000
 21.976998  70.735269 -9999.000000 -9999.000000
 21.976939  70.740846 -9999.000000 -9999.000000
 21.976880  70.746422 -9999.000000 -9999.000000
 21.976821  70.751998 -9999.000000 -9999.000000
 21.976761  70.757574 -9999.000000 -9999.000000
 21.976701  70.763150 -9999.000000 -9999.000000
 21.976641  70.768727 -9999.000000 -9999.000000
 21.976581  70.774303 -9999.000000 -9999.000000
 21.976521  70.779879 -9999.000000 -9999.000000
 21.976460  70.785455 -9999.000000 -9999.000000
 21.976400  70.791031 -9999.000000 -9999.000000
 21.976339  70.796607 -9999.000000 -9999.000000
 21.976278  70.802183 -9999.000000 -9999.000000
 21.976216  70.807759 -9999.000000 -9999.000000
 21.976155  70.813335 -9999.000000 -9999.000000
 21.976093  70.818911 -9999.000000 -9999.000000
 21.976031  70.824487 -9999.000000 -9999.000000
 21.975969  70.830063 -9999.000000 -9999.000000
 21.975907  70.835639 -9999.000000 -9999.000000
 21.975845  70.841215 -9999.000000 -9999.000000
 21.975782  70.846791 -9999.000000 -9999.000000
 21.975719  70.852367 -9999.000000 -9999.000000
 21.975656  70.857942 -9999.000000 -9999.000000
 21.975593  70.863518 -9999.000000 -9999.000000
 21.975530  70.869094 -9999.000000 -9999.000000
 21.975466  70.874670 -9999.000000 -9999.000000
 21.975402  70.880246 -9999.000000 -9999.000000
 21.975338  70.885821 -9999.000000 -9999.000000
 21.975274  70.891397 -9999.000000 -9999.000000
 21.975210  70.896973 -9999.000000 -9999.000000
 21.975145  70.902548 -9999.000000 -9999.000000
 21.975081  70.908124 -9999.000000 -9999.000000
 21.975016  70.913700 -9999.000000 -9999.000000
 21.974951  70.919275 -9999.000000 -9999.000000
 21.974886  70.924851 -9999.000000 -9999.000000
 21.974820  70.930426 -9999.000000 -9999.000000
 21.974754  70.936002 -9999.000000 -9999.000000
 21.974689  70.941578 -9999.000000 -9999.000000
 21.974623  70.947153 -9999.000000 -9999.000000
 21.974556  70.952729 -9999.000000 -9999.000000
 21.974490  70.958304 -9999.000000 -9999.000000
 21.974423  70.963879 -9999.000000 -9999.000000
 21.974357  70.969455 -9999.000000 -9999.000000
 21.974290  70.975030 -9999.000000 -9999.000000
 21.974223  70.980606 -9999.000000 -9999.000000
 21.974155  70.986181 -9999.000000 -9999.000000
 21.974088  70.991756 -9999.000000 -9999.000000
 21.974020  70.997332 -9999.000000 -9999.000000
 21.973952  71.002907 -9999.000000 -9999.000000
 21.973884  71.008482 -9999.000000 -9999.000000
 21.973816  71.014058 -9999.000000 -9999.000000
 21.973747  71.019633 -9999.000000 -9999.000000
 21.973679  71.025208 -9999.000000 -9999.000000
 21.973610  71.030783 -9999.000000 -9999.000000
 21.973541  71.036358 -9999.000000 -9999.000000
 21.973472  71.041934 -9999.000000 -9999.000000
 21.973402  71.047509 -9999.000000 -9999.000000
 21.973333  71.053084 -9999.000000 -9999.000000
 21.973263  71.058659 -9999.000000 -9999.000000
 21.973193  71.064234 -9999.000000 -9999.000000
 21.973123  71.069809 -9999.000000 -9999.000000
 21.973052  71.075384 -9999.000000 -9999.000000
 21.972982  71.080959 -9999.000000 -9999.000000
 21.972911  71.086534 -9999.000000 -9999.000000
 21.972840  71.092109 -9999.000000 -9999.000000
 21.972769  71.097684 -9999.000000 -9999.000000
 21.972698  71.103259 -9999.000000 -9999.000000
 21.972626  71.108834 -9999.000000 -9999.000000
 21.972555  71.114408 -9999.000000 -9999.000000
 21.972483  71.119983 -9999.000000 -9999.000000
 21.972411  71.125558 -9999.000000 -9999.000000
 21.972338  71.131133 -9999.000000 -9999.000000
 21.972266  71.136708 -9999.000000 -9999.000000
 21.972193  71.142282 -9999.000000 -9999.000000
 21.972121  71.147857 -9999.000000 -9999.000000
 21.972048  71.153432 -9999.000000 -9999.000000
 21.971974  71.159006 -9999.000000 -9999.000000
 21.971901  71.164581 -9999.000000 -9999.000000
 21.971828  71.170156 -9999.000000 -9999.000000
 21.971754  71.175730 -9999.000000 -9999.000000
 21.971680  71.181305 -9999.000000 -9999.000000
 21.971606  71.186879 -9999.000000 -9999.000000
 21.971531  71.192454 -9999.000000 -9999.000000
 21.971457  71.198028 -9999.000000 -9999.000000
 21.971382  71.203603 -9999.000000 -9999.000000
 21.971307  71.209177 -9999.000000 -9999.000000
 21.971232  71.214752 -9999.000000 -9999.000000
 21.971157  71.220326 -9999.000000 -9999.000000
 21.971082  71.225901 -9999.000000 -9999.000000
 21.971006  71.231475 -9999.000000 -9999.000000
 21.970930  71.237049 -9999.000000 -9999.000000
 21.970854  71.242624 -9999.000000 -9999.000000
 21.970778  71.248198 -9999.000000 -9999.000000
 21.970702  71.253772 -9999.000000 -9999.000000
 21.970625  71.259346 -9999.000000 -9999.000000
 21.970548  71.264921 -9999.000000 -9999.000000
 21.970471  71.270495 -9999.000000 -9999.000000
 21.970394  71.276069 -9999.000000 -9999.000000
 21.970317  71.281643 -9999.000000 -9999.000000
 21.970239  71.287217 -9999.000000 -9999.000000
 21.970162  71.292791 -9999.000000 -9999.000000
 21.970084  71.298365 -9999.000000 -9999.000000
 21.970006  71.303939 -9999.000000 -9999.000000
 21.969927  71.309513 -9999.000000 -9999.000000
 21.969849  71.315087 -9999.000000 -9999.000000
 21.969770  71.320661 -9999.000000 -9999.000000
 21.969692  71.326235 -9999.000000 -9999.000000
 21.969612  71.331809 -9999.000000 -9999.000000
 21.969533  71.337383 -9999.000000 -9999.000000
 21.969454  71.342957 -9999.000000 -9999.000000
 21.969374  71.348531 -9999.000000 -9999.000000
 21.969295  71.354105 -9999.000000 -9999.000000
 21.969215  71.359678 -9999.000000 -9999.000000
 21.969134  71.365252 -9999.000000 -9999.000000
 21.969054  71.370826 -9999.000000 -9999.000000
 21.968974  71.376400 -9999.000000 -9999.000000
 21.968893  71.381973 -9999.000000 -9999.000000
 21.968812  71.387547 -9999.000000 -9999.000000
 21.968731  71.393121 -9999.000000 -9999.000000
 21.968650  71.398694 -9999.000000 -9999.000000
 21.968568  71.404268 -9999.000000 -9999.000000
 21.968486  71.409841 -9999.000000 -9999.000000
 21.968405  71.415415 -9999.000000 -9999.000000
 21.968323  71.420988 -9999.000000 -9999.000000
 21.968240  71.426562 -9999.000000 -9999.000000
 21.968158  71.432135 -9999.000000 -9999.000000
 21.979820  69.614122 -9999.000000 -9999.000000
 21.979797  69.619698 -9999.000000 -9999.000000
 21.979776  69.625277 -9999.000000 -9999.000000
 21.979755  69.630856 -9999.000000 -9999.000000
 21.979733  69.636434 -9999.000000 -9999.000000
 21.979711  69.642013 -9999.000000 -9999.000000
 21.979689  69.647591 -9999.000000 -9999.000000
 21.979667  69.653170 -9999.000000 -9999.000000
 21.979645  69.658749 -9999.000000 -9999.000000
 21.979623  69.664327 -9999.000000 -9999.000000
 21.979600  69.669906 -9999.000000 -9999.000000
 21.979577  69.675484 -9999.000000 -9999.000000
 21.979554  69.681063 -9999.000000 -9999.000000
 21.979531  69.686641 -9999.000000 -9999.000000
 21.979507  69.692220 -9999.000000 -9999.000000
 21.979484  69.697798 -9999.000000 -9999.000000
 21.979460  69.703377 -9999.000000 -9999.000000
 21.979436  69.708955 -9999.000000 -9999.000000
 21.979412  69.714534 -9999.000000 -9999.000000
 21.979387  69.720112 -9999.000000 -9999.000000
 21.979363  69.725691 -9999.000000 -9999.000000
 21.979338  69.731269 -9999.000000 -9999.000000
 21.979313  69.736848 -9999.000000 -9999.000000
 21.979288  69.742426 -9999.000000 -9999.000000
 21.979263  69.748005 -9999.000000 -9999.000000
 21.979237  69.753583 -9999.000000 -9999.000000
 21.979211  69.759162 -9999.000000 -9999.000000
 21.979185  69.764740 -9999.000000 -9999.000000
 21.979159  69.770318 -9999.000000 -9999.000000
 21.979133  69.775897 -9999.000000 -9999.000000
 21.979107  69.781475 -9999.000000 -9999.000000
 21.979080  69.787054 -9999.000000 -9999.000000
 21.979053  69.792632 -9999.000000 -9999.000000
 21.979026  69.798210 -9999.000000 -9999.000000
 21.978999  69.803789 -9999.000000 -9999.000000
 21.978971  69.809367 -9999.000000 -9999.000000
 21.978944  69.814945 -9999.000000 -9999.000000
 21.978916  69.820524 -9999.000000 -9999.000000
 21.978888  69.826102 -9999.000000 -9999.000000
 21.978860  69.831680 -9999.000000 -9999.000000
 21.978832  69.837259 -9999.000000 -9999.000000
 21.978803  69.842837 -9999.000000 -9999.000000
 21.978774  69.848415 -9999.000000 -9999.000000
 21.978745  69.853994 -9999.000000 -9999.000000
 21.978716  69.859572 -9999.000000 -9999.000000
 21.978687  69.865150 -9999.000000 -9999.000000
 21.978657  69.870728 -9999.000000 -9999.000000
 21.978628  69.876307 -9999.000000 -9999.000000
 21.978598  69.881885 709297.009242  43.743894
 21.978568  69.887463 708899.828147  43.705978
 21.978538  69.893041 708509.618743  43.667506
 21.978507  69.898620 708118.748173  43.629066
 21.978477  69.904198 707725.490284  43.590791
 21.978446  69.909776 707330.403118  43.552639
 21.978415  69.915354 706936.899613  43.514347
 21.978383  69.920932 706545.730085  43.475857
 21.978352  69.926510 706153.282351  43.437446
 21.978321  69.932089 705760.595181  43.399035
 21.978289  69.937667 705366.777824  43.360692
 21.978257  69.943245 704975.825997  43.322110
 21.978225  69.948823 704584.561677  43.283534
 21.978192  69.954401 704193.033319  43.244959
 21.978160  69.959979 703799.951407  43.206484
 21.978127  69.965557 703406.996648  43.167980
 21.978094  69.971135 703015.684236  43.129332
 21.978061  69.976713 702631.189102  43.090145
 21.978028  69.982291 702245.276562  43.051048
 21.977994  69.987869 -9999.000000 -9999.000000
 21.977961  69.993447 -9999.000000 -9999.000000
 21.977927  69.999025 -9999.000000 -9999.000000
 21.977893  70.004604 -9999.000000 -9999.000000
 21.977859  70.010182 -9999.000000 -9999.000000
 21.977824  70.015759 -9999.000000 -9999.000000
 21.977790  70.021337 -9999.000000 -9999.000000
 21.977755  70.026915 -9999.000000 -9999.000000
 21.977720  70.032493 -9999.000000 -9999.000000
 21.977685  70.038071 -9999.000000 -9999.000000
 21.977649  70.043649 -9999.000000 -9999.000000
 21.977614  70.049227 -9999.000000 -9999.000000
 21.977578  70.054805 -9999.000000 -9999.000000
 21.977542  70.060383 -9999.000000 -9999.000000
 21.977506  70.065961 -9999.000000 -9999.000000
 21.977470  70.071539 -9999.000000 -9999.000000
 21.977433  70.077117 -9999.000000 -9999.000000
 21.977396  70.082694 -9999.000000 -9999.000000
 21.977359  70.088272 -9999.000000 -9999.000000
 21.977322  70.093850 -9999.000000 -9999.000000
 21.977285  70.099428 -9999.000000 -9999.000000
 21.977248  70.105006 -9999.000000 -9999.000000
 21.977210  70.110584 -9999.000000 -9999.000000
 21.977172  70.116161 -9999.000000 -9999.000000
 21.977134  70.121739 -9999.000000 -9999.000000
 21.977096  70.127317 -9999.000000 -9999.000000
 21.977058  70.132895 -9999.000000 -9999.000000
 21.977019  70.138472 -9999.000000 -9999.000000
 21.976980  70.144050 -9999.000000 -9999.000000
 21.976941  70.149628 -9999.000000 -9999.000000
 21.976902  70.155205 -9999.000000 -9999.000000
 21.976863  70.160783 -9999.000000 -9999.000000
 21.976823  70.166361 -9999.000000 -9999.000000
 21.976783  70.171939 -9999.000000 -9999.000000
 21.976744  70.177516 -9999.000000 -9999.000000
 21.976703  70.183094 -9999.000000 -9999.000000
 21.976663  70.188671 -9999.000000 -9999.000000
 21.976623  70.194249 -9999.000000 -9999.000000
 21.976582  70.199827 -9999.000000 -9999.000000
 21.976541  70.205404 -9999.000000 -9999.000000
 21.976500  70.210982 -9999.000000 -9999.000000
 21.976459  70.216559 -9999.000000 -9999.000000
 21.976417  70.222137 -9999.000000 -9999.000000
 21.976376  70.227714 -9999.000000 -9999.000000
 21.976334  70.233292 -9999.000000 -9999.000000
 21.976292  70.238869 -9999.000000 -9999.000000
 21.976250  70.244447 -9999.000000 -9999.000000
 21.976208  70.250024 -9999.000000 -9999.000000
 21.976165  70.255602 -9999.000000 -9999.000000
 21.976122  70.261179 -9999.000000 -9999.000000
 21.976079  70.266757 -9999.000000 -9999.000000
 21.976036  70.272334 -9999.000000 -9999.000000
 21.975993  70.277912 -9999.000000 -9999.000000
 21.975949  70.283489 -9999.000000 -9999.000000
 21.975906  70.289066 -9999.000000 -9999.000000
 21.975862  70.294644 -9999.000000 -9999.000000
 21.975818  70.300221 -9999.000000 -9999.000000
 21.975773  70.305798 -9999.000000 -9999.000000
 21.975729  70.311376 -9999.000000 -9999.000000
 21.975684  70.316953 -9999.000000 -9999.000000
 21.975639  70.322530 -9999.000000 -9999.000000
 21.975594  70.328108 -9999.000000 -9999.000000
 21.975549  70.333685 -9999.000000 -9999.000000
 21.975504  70.339262 -9999.000000 -9999.000000
 21.975458  70.344839 -9999.000000 -9999.000000
 21.975412  70.350417 -9999.000000 -9999.000000
 21.975367  70.355994 -9999.000000 -9999.000000
 21.975320  70.361571 -9999.000000 -9999.000000
 21.975274  70.367148 -9999.000000 -9999.000000
 21.975227  70.372725 -9999.000000 -9999.000000
 21.975181  70.378302 -9999.000000 -9999.000000
 21.975134  70.383880 -9999.000000 -9999.000000
 21.975087  70.389457 -9999.000000 -9999.000000
 21.975039  70.395034 -9999.000000 -9999.000000
 21.974992  70.400611 -9999.000000 -9999.000000
 21.974944  70.406188 -9999.000000 -9999.000000
 21.974896  70.411765 -9999.000000 -9999.000000
 21.974848  70.417342 -9999.000000 -9999.000000
 21.974800  70.422919 -9999.000000 -9999.000000
 21.974752  70.428496 -9999.000000 -9999.000000
 21.974703  70.434073 -9999.000000 -9999.000000
 21.974654  70.439650 -9999.000000 -9999.000000
 21.974605  70.445227 -9999.000000 -9999.000000
 21.974556  70.450804 -9999.000000 -9999.000000
 21.974507  70.456381 -9999.000000 -9999.000000
 21.974457  70.461958 -9999.000000 -9999.000000
 21.974407  70.467535 -9999.000000 -9999.000000
 21.974358  70.473112 -9999.000000 -9999.000000
 21.974307  70.478688 -9999.000000 -9999.000000
 21.974257  70.484265 -9999.000000 -9999.000000
 21.974207  70.489842 -9999.000000 -9999.000000
 21.974156  70.495419 -9999.000000 -9999.000000
 21.974105  70.500996 -9999.000000 -9999.000000
 21.974054  70.506573 -9999.000000 -9999.000000
 21.974003  70.512149 -9999.000000 -9999.000000
 21.973951  70.517726 -9999.000000 -9999.000000
